ORDERNUMBER,QUANTITYORDERED*,PRICEEACH,TOTALPRICE,ORDERDATE,STATUS,PRODUCTNAME,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESS,CITY,STATE,POSTALCODE,COUNTRY,DEALSIZE
10107,30,100,3000,2/24/2003 0:00,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Small
10121,34,100,3400,05-07-2003 00:00,Shipped,Motorcycles,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,Small
10134,41,100,4100,07-01-2003 00:00,Shipped,Motorcycles,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,Medium
10145,45,100,4500,8/25/2003 0:00,Shipped,Motorcycles,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Medium
10159,49,100,4900,10-10-2003 00:00,Shipped,Motorcycles,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,Medium
10168,36,100,3600,10/28/2003 0:00,Shipped,Motorcycles,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Medium
10180,29,100,2900,11-11-2003 00:00,Shipped,Motorcycles,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,Small
10188,48,100,4800,11/18/2003 0:00,Shipped,Motorcycles,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Medium
10201,22,100,2200,12-01-2003 00:00,Shipped,Motorcycles,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,,USA,Small
10211,41,100,4100,1/15/2004 0:00,Shipped,Motorcycles,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,Medium
10223,37,100,3700,2/20/2004 0:00,Shipped,Motorcycles,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Medium
10237,23,100,2300,04-05-2004 00:00,Shipped,Motorcycles,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Small
10251,28,100,2800,5/18/2004 0:00,Shipped,Motorcycles,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Medium
10263,34,100,3400,6/28/2004 0:00,Shipped,Motorcycles,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,Medium
10275,45,100,4500,7/23/2004 0:00,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Medium
10285,36,100,3600,8/27/2004 0:00,Shipped,Motorcycles,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Medium
10299,23,100,2300,9/30/2004 0:00,Shipped,Motorcycles,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,Small
10309,41,100,4100,10/15/2004 0:00,Shipped,Motorcycles,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,Medium
10318,46,100,4600,11-02-2004 00:00,Shipped,Motorcycles,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Medium
10329,42,100,4200,11/15/2004 0:00,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Medium
10341,41,100,4100,11/24/2004 0:00,Shipped,Motorcycles,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,Large
10361,20,100,2000,12/17/2004 0:00,Shipped,Motorcycles,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Small
10375,21,100,2100,02-03-2005 00:00,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Small
10388,42,100,4200,03-03-2005 00:00,Shipped,Motorcycles,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Medium
10403,24,100,2400,04-08-2005 00:00,Shipped,Motorcycles,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,Small
10417,66,100,6600,5/13/2005 0:00,Disputed,Motorcycles,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Large
10103,26,200,5200,1/29/2003 0:00,Shipped,Classic Cars,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,Medium
10112,29,200,5800,3/24/2003 0:00,Shipped,Classic Cars,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,,S-958 22,Sweden,Large
10126,38,200,7600,5/28/2003 0:00,Shipped,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,Large
10140,37,200,7400,7/24/2003 0:00,Shipped,Classic Cars,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Large
10150,45,200,9000,9/19/2003 0:00,Shipped,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Large
10163,21,200,4200,10/20/2003 0:00,Shipped,Classic Cars,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,Medium
10174,34,200,6800,11-06-2003 00:00,Shipped,Classic Cars,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Large
